sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
sulyman-t-shirt-Men-Sage-XXL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Sage-XXL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-sage-xxl,Suleyman,Suleyman,,/shirts/sage.png,,/shirts/sage.png,,/shirts/sage.png,,/shirts/sage.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Sage,admire_gender=Men,admire_size=XXL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/sage.png,,,,,,,,,,
sulyman-t-shirt-Men-Sage-XXXL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Sage-XXXL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-sage-xxxl,Suleyman,Suleyman,,/shirts/sage.png,,/shirts/sage.png,,/shirts/sage.png,,/shirts/sage.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Sage,admire_gender=Men,admire_size=XXXL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/sage.png,,,,,,,,,,
sulyman-t-shirt-Men-Blue-S,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Blue-S,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-blue-s,Suleyman,Suleyman,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Blue,admire_gender=Men,admire_size=S,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/blue.png,,,,,,,,,,
sulyman-t-shirt-Men-Blue-M,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Blue-M,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-blue-m,Suleyman,Suleyman,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Blue,admire_gender=Men,admire_size=M,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/blue.png,,,,,,,,,,
sulyman-t-shirt-Men-Blue-L,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Blue-L,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-blue-l,Suleyman,Suleyman,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Blue,admire_gender=Men,admire_size=L,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/blue.png,,,,,,,,,,
sulyman-t-shirt-Men-Blue-XL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Blue-XL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-blue-xl,Suleyman,Suleyman,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Blue,admire_gender=Men,admire_size=XL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/blue.png,,,,,,,,,,
sulyman-t-shirt-Men-Blue-XXL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Blue-XXL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-blue-xxl,Suleyman,Suleyman,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Blue,admire_gender=Men,admire_size=XXL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/blue.png,,,,,,,,,,
sulyman-t-shirt-Men-Blue-XXXL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Blue-XXXL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-blue-xxxl,Suleyman,Suleyman,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,/shirts/blue.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Blue,admire_gender=Men,admire_size=XXXL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/blue.png,,,,,,,,,,
sulyman-t-shirt-Men-Dapple Grey-S,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Dapple Grey-S,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-dapple-grey-s,Suleyman,Suleyman,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Dapple Grey,admire_gender=Men,admire_size=S,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/dapple-grey.png,,,,,,,,,,
sulyman-t-shirt-Men-Dapple Grey-M,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Dapple Grey-M,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-dapple-grey-m,Suleyman,Suleyman,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Dapple Grey,admire_gender=Men,admire_size=M,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/dapple-grey.png,,,,,,,,,,
sulyman-t-shirt-Men-Dapple Grey-L,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Dapple Grey-L,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-dapple-grey-l,Suleyman,Suleyman,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Dapple Grey,admire_gender=Men,admire_size=L,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/dapple-grey.png,,,,,,,,,,
sulyman-t-shirt-Men-Dapple Grey-XL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Dapple Grey-XL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-dapple-grey-xl,Suleyman,Suleyman,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Dapple Grey,admire_gender=Men,admire_size=XL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/dapple-grey.png,,,,,,,,,,
sulyman-t-shirt-Men-Dapple Grey-XXL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Dapple Grey-XXL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-dapple-grey-xxl,Suleyman,Suleyman,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Dapple Grey,admire_gender=Men,admire_size=XXL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/dapple-grey.png,,,,,,,,,,
sulyman-t-shirt-Men-Dapple Grey-XXXL,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Dapple Grey-XXXL,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-dapple-grey-xxxl,Suleyman,Suleyman,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,/shirts/dapple-grey.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Dapple Grey,admire_gender=Men,admire_size=XXXL,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/dapple-grey.png,,,,,,,,,,
sulyman-t-shirt-Men-Peach-S,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Peach-S,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-peach-s,Suleyman,Suleyman,,/shirts/peach.png,,/shirts/peach.png,,/shirts/peach.png,,/shirts/peach.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Peach,admire_gender=Men,admire_size=S,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/peach.png,,,,,,,,,,
sulyman-t-shirt-Men-Peach-M,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Peach-M,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-peach-m,Suleyman,Suleyman,,/shirts/peach.png,,/shirts/peach.png,,/shirts/peach.png,,/shirts/peach.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Peach,admire_gender=Men,admire_size=M,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/peach.png,,,,,,,,,,
sulyman-t-shirt-Men-Peach-L,,Default,simple,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,sulyman-t-shirt-Men-Peach-L,"<p>Suleiman , or Kanuni Sultan Suleyman also known as Suleiman The Magnificent. He&nbsp;was the tenth and longest-reigning Sultan&nbsp;of the Ottoman Empire, from 1520 to his death in 1566.</p>
<p>Known for his long reign, changes he made to Law, education &amp; taxation and his numerous conquests across Europe.</p>",,1,1,Taxable Goods,Not Visible Individually,19,,,,sulyman-t-shirt-men-peach-l,Suleyman,Suleyman,,/shirts/peach.png,,/shirts/peach.png,,/shirts/peach.png,,/shirts/peach.png,,,,,,Block after Info Column,,,,,,,,,,,,,"admire_color=Peach,admire_gender=Men,admire_size=L,admire_sticker=/artworks/sulyman-t-shirt.png",,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,/shirts/peach.png,,,,,,,,,,
